market,run_id,stable_config,decision,reason,max_abs_correlation_to_selected
moex,moex_lb24M_sk3M_q20,False,not_stable,"failed: median_train_top_fraction, median_test_top_fraction, test_top_fraction_share",
moex,moex_lb24M_sk3M_q30,False,not_stable,"failed: median_train_top_fraction, median_test_top_fraction, test_top_fraction_share",
moex,moex_lb6M_sk0M_q10,False,not_stable,"failed: median_train_top_fraction, median_test_top_fraction",
moex,moex_lb6M_sk0M_q20,False,not_stable,"failed: median_test_top_fraction, test_top_fraction_share, rank_change_limit",
moex,moex_lb6M_sk0M_q30,False,not_stable,"failed: median_test_top_fraction, rank_change_limit",
moex,moex_lb6M_sk1M_q10,False,not_stable,"failed: median_test_top_fraction, test_top_fraction_share",
moex,moex_lb6M_sk3M_q10,False,not_stable,"failed: median_train_top_fraction, median_test_top_fraction",
moex,moex_lb6M_sk3M_q30,False,not_stable,failed: median_train_top_fraction,
moex,moex_lb6M_sk1M_q20,True,select_for_ensemble,stable and passes correlation preference,0.9104191304206656
moex,moex_lb6M_sk1M_q30,True,select_for_ensemble,stable and passes correlation preference,
moex,moex_lb6M_sk3M_q20,True,select_for_ensemble,stable and passes correlation preference,0.6530211096146339
moex,moex_lb12M_sk1M_q20,True,stable_not_selected,stable but not required for frozen ensemble,
us,us_lb12M_sk0M_q10,False,not_stable,"failed: median_test_top_fraction, test_top_fraction_share, rank_change_limit",
us,us_lb12M_sk0M_q20,False,not_stable,"failed: median_test_top_fraction, test_top_fraction_share, rank_change_limit",
us,us_lb12M_sk0M_q30,False,not_stable,"failed: median_test_top_fraction, test_top_fraction_share",
us,us_lb12M_sk1M_q10,False,not_stable,"failed: median_test_top_fraction, test_top_fraction_share, rank_change_limit",
us,us_lb12M_sk1M_q20,False,not_stable,"failed: median_test_top_fraction, test_top_fraction_share, rank_change_limit",
us,us_lb12M_sk1M_q30,False,not_stable,"failed: median_test_top_fraction, test_top_fraction_share, rank_change_limit",
us,us_lb12M_sk3M_q10,False,not_stable,"failed: median_train_top_fraction, median_test_top_fraction, test_top_fraction_share",
us,us_lb12M_sk3M_q20,False,not_stable,"failed: median_test_top_fraction, test_top_fraction_share",
us,us_lb12M_sk3M_q30,False,not_stable,"failed: median_test_top_fraction, test_top_fraction_share",
us,us_lb24M_sk0M_q10,False,not_stable,"failed: median_train_top_fraction, median_test_top_fraction, test_top_fraction_share, positive_test_sharpe_share",
us,us_lb24M_sk0M_q20,False,not_stable,"failed: median_train_top_fraction, median_test_top_fraction, test_top_fraction_share, positive_test_sharpe_share",
us,us_lb24M_sk0M_q30,False,not_stable,"failed: median_train_top_fraction, median_test_top_fraction, test_top_fraction_share, positive_test_sharpe_share",
us,us_lb24M_sk1M_q10,False,not_stable,"failed: median_train_top_fraction, median_test_top_fraction, test_top_fraction_share, positive_test_sharpe_share",
us,us_lb24M_sk1M_q20,False,not_stable,"failed: median_train_top_fraction, median_test_top_fraction, test_top_fraction_share, positive_test_sharpe_share",
us,us_lb24M_sk1M_q30,False,not_stable,"failed: median_train_top_fraction, median_test_top_fraction, test_top_fraction_share, positive_test_sharpe_share, rank_change_limit",
us,us_lb24M_sk3M_q10,False,not_stable,"failed: median_train_top_fraction, median_test_top_fraction, test_top_fraction_share, positive_test_sharpe_share",
us,us_lb24M_sk3M_q20,False,not_stable,"failed: median_train_top_fraction, median_test_top_fraction, test_top_fraction_share, positive_test_sharpe_share",
us,us_lb24M_sk3M_q30,False,not_stable,"failed: median_train_top_fraction, median_test_top_fraction, test_top_fraction_share, positive_test_sharpe_share",
us,us_lb6M_sk0M_q10,False,not_stable,"failed: median_train_top_fraction, median_test_top_fraction, test_top_fraction_share",
us,us_lb6M_sk0M_q20,False,not_stable,"failed: median_train_top_fraction, rank_change_limit",
us,us_lb6M_sk0M_q30,False,not_stable,"failed: median_train_top_fraction, rank_change_limit",
us,us_lb6M_sk1M_q20,False,not_stable,"failed: median_train_top_fraction, rank_change_limit",
us,us_lb6M_sk1M_q30,False,not_stable,"failed: median_train_top_fraction, rank_change_limit",
us,us_lb6M_sk3M_q10,False,not_stable,"failed: median_train_top_fraction, median_test_top_fraction",
us,us_lb6M_sk3M_q20,False,not_stable,"failed: median_train_top_fraction, median_test_top_fraction, test_top_fraction_share",
us,us_lb6M_sk3M_q30,False,not_stable,failed: median_train_top_fraction,
us,us_lb6M_sk1M_q10,True,select_as_base_single,only stable single available,
